collection_date,latitude,longitude,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
2013-05-01,39.25579,-76.610105,0.0,
2013-05-01,39.254674,-76.594605,0.0,
2013-05-08,39.153209,-76.507068,10.0,
2013-05-08,39.160976,-76.528152,0.0,
2013-05-08,39.213125,-76.4534,0.0,
2013-05-08,39.175159,-76.523868,10.0,
2013-05-08,39.246741,-76.491001,0.0,
2013-05-08,39.223374,-76.56862,0.0,
2013-05-08,39.187325,-76.494584,0.0,
2013-05-08,39.181426,-76.458249,0.0,
2013-05-08,39.197375,-76.574604,10.0,
2013-05-15,39.254541,-76.573837,0.0,
2013-05-15,39.235341,-76.555953,0.0,
2013-05-15,39.283701,-76.603718,600.0,
2013-05-15,39.276857,-76.596738,0.0,
2013-05-15,39.276491,-76.584021,280.0,
2013-05-15,39.276674,-76.573921,70.0,
2013-05-15,39.262607,-76.575771,0.0,
2013-05-15,39.263507,-76.623106,20.0,
2013-05-15,39.248491,-76.610539,30.0,
2013-05-15,39.25579,-76.610105,0.0,
2013-05-15,39.254674,-76.594605,10.0,
2013-05-22,39.153209,-76.507068,0.0,
2013-05-22,39.160976,-76.528152,10.0,
2013-05-22,39.175159,-76.523868,0.0,
2013-05-22,39.246741,-76.491001,0.0,
2013-05-22,39.223374,-76.56862,0.0,
2013-05-22,39.213094,-76.522536,0.0,
2013-05-22,39.181426,-76.458249,0.0,
2013-05-22,39.197375,-76.574604,0.0,
2013-05-22,39.126776,-76.445482,10.0,
2013-05-29,39.254541,-76.573837,0.0,
2013-05-29,39.235341,-76.555953,0.0,
2013-05-29,39.283701,-76.603718,770.0,
2013-05-29,39.276857,-76.596738,340.0,
2013-05-29,39.276491,-76.584021,240.0,
2013-05-29,39.276674,-76.573921,250.0,
2013-05-29,39.262607,-76.575771,20.0,
2013-05-29,39.263507,-76.623106,130.0,
2013-05-29,39.248491,-76.610539,170.0,
2013-05-29,39.25579,-76.610105,160.0,
2013-05-29,39.254674,-76.594605,120.0,
2013-06-12,39.153209,-76.507068,40.0,
2013-06-12,39.160976,-76.528152,0.0,
2013-06-12,39.213125,-76.4534,0.0,
2013-06-12,39.175159,-76.523868,100.0,
2013-06-12,39.246741,-76.491001,0.0,
2013-06-12,39.223374,-76.56862,400.0,
2013-06-12,39.235341,-76.555953,0.0,
2013-06-12,39.213094,-76.522536,1600.0,
2013-06-12,39.187325,-76.494584,350.0,
2013-06-12,39.181426,-76.458249,110.0,
2013-06-12,39.197375,-76.574604,0.0,
2013-06-12,39.126776,-76.445482,200.0,
2013-06-19,39.254541,-76.573837,0.0,
2013-06-19,39.235341,-76.555953,10.0,
2013-06-19,39.283701,-76.603718,650.0,
2013-06-19,39.276857,-76.596738,260.0,
2013-06-19,39.276491,-76.584021,120.0,
2013-06-19,39.276674,-76.573921,120.0,
2013-06-19,39.262607,-76.575771,0.0,
2013-06-19,39.263507,-76.623106,120.0,
2013-06-19,39.248491,-76.610539,240.0,
2013-06-19,39.25579,-76.610105,170.0,
2013-06-19,39.254674,-76.594605,30.0,
2013-06-26,39.153209,-76.507068,0.0,
2013-06-26,39.160976,-76.528152,10.0,
2013-06-26,39.213125,-76.4534,0.0,
2013-06-26,39.175159,-76.523868,0.0,
2013-06-26,39.246741,-76.491001,0.0,
2013-06-26,39.223374,-76.56862,10.0,
2013-06-26,39.213094,-76.522536,10.0,
2013-06-26,39.187325,-76.494584,0.0,
2013-06-26,39.181426,-76.458249,0.0,
2013-06-26,39.197375,-76.574604,20.0,
2013-07-03,39.254541,-76.573837,10.0,
2013-07-03,39.235341,-76.555953,0.0,
2013-07-03,39.283701,-76.603718,1720.0,
2013-07-03,39.276857,-76.596738,160.0,
2013-07-03,39.276491,-76.584021,20.0,
2013-07-03,39.276674,-76.573921,20.0,
2013-07-03,39.262607,-76.575771,0.0,
2013-07-03,39.263507,-76.623106,150.0,
2013-07-03,39.248491,-76.610539,2380.0,
2013-07-03,39.25579,-76.610105,40.0,
2013-07-03,39.254674,-76.594605,0.0,
2013-07-10,39.153209,-76.507068,10.0,
2013-07-10,39.160976,-76.528152,20.0,
2013-07-10,39.213125,-76.4534,0.0,
2013-07-10,39.175159,-76.523868,30.0,
2013-07-10,39.246741,-76.491001,0.0,
2013-07-10,39.223374,-76.56862,0.0,
2013-07-10,39.213094,-76.522536,30.0,
2013-07-10,39.187325,-76.494584,0.0,
2013-07-10,39.181426,-76.458249,0.0,
2013-07-10,39.197375,-76.574604,10.0,
2013-07-10,39.126776,-76.445482,30.0,
2013-07-17,39.254541,-76.573837,330.0,
2013-07-17,39.235341,-76.555953,150.0,
2013-07-17,39.283701,-76.603718,230.0,
2013-07-17,39.276857,-76.596738,120.0,
2013-07-17,39.276491,-76.584021,330.0,
2013-07-17,39.276674,-76.573921,280.0,
2013-07-17,39.262607,-76.575771,310.0,
2013-07-17,39.263507,-76.623106,150.0,
2013-07-17,39.248491,-76.610539,70.0,
2013-07-17,39.25579,-76.610105,360.0,
2013-07-17,39.254674,-76.594605,320.0,
2013-07-24,39.153209,-76.507068,40.0,
2013-07-24,39.160976,-76.528152,10.0,
2013-07-24,39.213125,-76.4534,10.0,
2013-07-24,39.175159,-76.523868,60.0,
2013-07-24,39.246741,-76.491001,0.0,
2013-07-24,39.223374,-76.56862,20.0,
2013-07-24,39.213094,-76.522536,10.0,
2013-07-24,39.187325,-76.494584,20.0,
2013-07-24,39.181426,-76.458249,0.0,
2013-07-24,39.197375,-76.574604,10.0,
2013-07-24,39.126776,-76.445482,20.0,
2013-07-31,39.254541,-76.573837,40.0,
2013-07-31,39.235341,-76.555953,0.0,
2013-07-31,39.283701,-76.603718,240.0,
2013-07-31,39.276857,-76.596738,50.0,
2013-07-31,39.276491,-76.584021,10.0,
2013-07-31,39.276674,-76.573921,910.0,
2013-07-31,39.262607,-76.575771,0.0,
2013-07-31,39.263507,-76.623106,60.0,
2013-07-31,39.248491,-76.610539,40.0,
2013-07-31,39.25579,-76.610105,30.0,
2013-07-31,39.254674,-76.594605,20.0,
2013-08-07,39.153209,-76.507068,20.0,
2013-08-07,39.160976,-76.528152,70.0,
2013-08-07,39.213125,-76.4534,30.0,
2013-08-07,39.175159,-76.523868,1130.0,
2013-08-07,39.223374,-76.56862,40.0,
2013-08-07,39.213094,-76.522536,150.0,
2013-08-07,39.181426,-76.458249,30.0,
2013-08-07,39.197375,-76.574604,130.0,
2013-08-21,39.254541,-76.573837,3080.0,
2013-08-21,39.235341,-76.555953,320.0,
2013-08-21,39.283701,-76.603718,380.0,
2013-08-21,39.276857,-76.596738,500.0,
2013-08-21,39.276491,-76.584021,410.0,
2013-08-21,39.276674,-76.573921,310.0,
2013-08-21,39.262607,-76.575771,2190.0,
2013-08-21,39.263507,-76.623106,550.0,
2013-08-21,39.248491,-76.610539,2400.0,
2013-08-21,39.25579,-76.610105,1790.0,
2013-08-21,39.254674,-76.594605,990.0,
2013-08-28,39.254541,-76.573837,60.0,
2013-08-28,39.235341,-76.555953,10.0,
2013-08-28,39.283701,-76.603718,500.0,
2013-08-28,39.276857,-76.596738,200.0,
2013-08-28,39.276491,-76.584021,20.0,
2013-08-28,39.276674,-76.573921,0.0,
2013-08-28,39.262607,-76.575771,0.0,
2013-08-28,39.263507,-76.623106,20.0,
2013-08-28,39.248491,-76.610539,10.0,
2013-08-28,39.25579,-76.610105,20.0,
2013-08-28,39.254674,-76.594605,30.0,
2013-09-04,39.153209,-76.507068,10.0,
2013-09-04,39.160976,-76.528152,10.0,
2013-09-04,39.213125,-76.4534,0.0,
2013-09-04,39.175159,-76.523868,10.0,
2013-09-04,39.246741,-76.491001,0.0,
2013-09-04,39.223374,-76.56862,0.0,
2013-09-04,39.213094,-76.522536,10.0,
2013-09-04,39.187325,-76.494584,0.0,
2013-09-04,39.181426,-76.458249,0.0,
2013-09-04,39.197375,-76.574604,0.0,
2013-09-04,39.126776,-76.445482,10.0,
2013-09-11,39.254541,-76.573837,0.0,
2013-09-11,39.235341,-76.555953,0.0,
2013-09-11,39.283701,-76.603718,250.0,
2013-09-11,39.276857,-76.596738,40.0,
2013-09-11,39.276491,-76.584021,0.0,
2013-09-11,39.276674,-76.573921,0.0,
2013-09-11,39.262607,-76.575771,0.0,
2013-09-11,39.263507,-76.623106,0.0,
2013-09-11,39.248491,-76.610539,10.0,
2013-09-11,39.25579,-76.610105,0.0,
2013-09-11,39.254674,-76.594605,10.0,
2013-09-18,39.153209,-76.507068,10.0,
2013-09-18,39.160976,-76.528152,0.0,
2013-09-18,39.213125,-76.4534,0.0,
2013-09-18,39.175159,-76.523868,0.0,
2013-09-18,39.246741,-76.491001,0.0,
2013-09-18,39.223374,-76.56862,0.0,
2013-09-18,39.213094,-76.522536,0.0,
2013-09-18,39.187325,-76.494584,0.0,
2013-09-18,39.181426,-76.458249,0.0,
2013-09-18,39.197375,-76.574604,0.0,
2013-09-18,39.126776,-76.445482,0.0,
2013-09-25,39.254541,-76.573837,0.0,
2013-09-25,39.235341,-76.555953,0.0,
2013-09-25,39.283701,-76.603718,310.0,
2013-09-25,39.276857,-76.596738,60.0,
2013-09-25,39.276491,-76.584021,20.0,
2013-09-25,39.276674,-76.573921,30.0,
2013-09-25,39.262607,-76.575771,40.0,
2013-09-25,39.263507,-76.623106,0.0,
2013-09-25,39.248491,-76.610539,10.0,
2013-09-25,39.25579,-76.610105,20.0,
