year,month,latitude,longitude,predicted_value,data_type
2009,5,39.15981284210526,-76.58571147368421,178.58995669009028,predicted
2009,5,39.16807205263158,-76.58571147368421,150.38870053467934,predicted
2009,5,39.17633126315789,-76.58571147368421,135.79905848251258,predicted
2009,5,39.18459047368421,-76.58571147368421,135.3173263704985,predicted
2009,5,39.19284968421053,-76.58571147368421,152.59089344220914,predicted
2009,5,39.20110889473684,-76.58571147368421,196.47237272589553,predicted
2009,5,39.20936810526316,-76.58571147368421,267.24528976213946,predicted
2009,5,39.21762731578947,-76.58571147368421,353.2440134565909,predicted
2009,5,39.22588652631579,-76.58571147368421,444.5316318675261,predicted
2009,5,39.23414573684211,-76.58571147368421,537.2244875309591,predicted
2009,5,39.24240494736842,-76.58571147368421,630.140775497697,predicted
