latitude,longitude,year,month,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
39.153209,-76.507068,2017,11,8.730835606524522,
39.153209,-76.507068,2017,12,9.740532959326789,
39.153209,-76.507068,2018,4,42.58876117496807,
39.153209,-76.507068,2018,5,32.71785630122691,
39.153209,-76.507068,2018,6,12.805682980530852,
39.153209,-76.507068,2018,7,49.39083744356187,
39.153209,-76.507068,2018,8,4.133559705715903,
39.153209,-76.507068,2018,9,3.552271704903284,
39.153209,-76.507068,2018,10,40.81821720311031,
39.153209,-76.507068,2018,11,8.98919074393661,
39.153209,-76.507068,2018,12,9.684431977559607,
39.153209,-76.507068,2019,4,43.776101532567054,
39.153209,-76.507068,2019,5,36.54408366952778,
39.153209,-76.507068,2019,6,17.92653386730466,
39.153209,-76.507068,2019,7,39.04969200033123,
39.153209,-76.507068,2019,8,3.8683267308055083,
39.153209,-76.507068,2019,9,3.6525491078122654,
39.153209,-76.507068,2019,10,37.00002902511342,
39.153209,-76.507068,2019,11,8.654001744326301,
39.153209,-76.507068,2019,12,9.754558204768582,
39.153209,-76.507068,2020,4,60.74074074074074,
39.153209,-76.507068,2020,5,27.6438039129272,
39.153209,-76.507068,2020,6,19.269038331512977,
39.153209,-76.507068,2020,7,33.68972187503341,
39.153209,-76.507068,2020,8,3.939256744010564,
39.153209,-76.507068,2020,9,0.0,
39.160976,-76.528152,2009,5,16.00332409783603,
39.160976,-76.528152,2009,6,66.10292202854414,
39.160976,-76.528152,2009,7,31.233936314581477,
39.160976,-76.528152,2009,8,14.374526247191783,
39.160976,-76.528152,2009,9,2.7755367439577965,
39.160976,-76.528152,2009,10,18.480617516392083,
39.160976,-76.528152,2009,11,0.0,
39.160976,-76.528152,2009,12,57.95066413662239,
39.160976,-76.528152,2010,4,170.9934640522876,
39.160976,-76.528152,2010,5,156.0263312020895,
39.160976,-76.528152,2010,6,75.87384063428193,
39.160976,-76.528152,2010,7,14.381066961712124,
39.160976,-76.528152,2010,8,14.162713724683165,
39.160976,-76.528152,2010,9,2.7961231750705435,
39.160976,-76.528152,2010,10,18.329001690357657,
39.160976,-76.528152,2010,11,0.11764705882352941,
39.160976,-76.528152,2010,12,57.60910815939279,
39.160976,-76.528152,2011,4,190.03921568627453,
39.160976,-76.528152,2011,5,177.4806302524315,
39.160976,-76.528152,2011,6,44.12427315753887,
39.160976,-76.528152,2011,7,36.05456371585404,
39.160976,-76.528152,2011,8,14.480921266999365,
39.160976,-76.528152,2011,9,2.755085265611582,
39.160976,-76.528152,2011,10,17.087368838962988,
39.160976,-76.528152,2011,11,0.1764705882352941,
39.160976,-76.528152,2011,12,57.83681214421252,
39.160976,-76.528152,2012,4,266.6913580246914,
39.160976,-76.528152,2012,5,119.37545326711626,
39.160976,-76.528152,2012,6,68.98768807358329,
39.160976,-76.528152,2012,7,3.559657188689447,
39.160976,-76.528152,2012,8,14.564233163554047,
39.160976,-76.528152,2012,9,2.6060606060606064,
39.160976,-76.528152,2012,10,22.159810041796163,
39.160976,-76.528152,2012,11,0.7647058823529412,
39.160976,-76.528152,2012,12,59.08918406072106,
39.160976,-76.528152,2013,4,196.2638888888889,
39.160976,-76.528152,2013,5,172.09336581437648,
39.160976,-76.528152,2013,6,67.9027369624609,
39.160976,-76.528152,2013,7,11.941338231660811,
39.160976,-76.528152,2013,8,14.670062252405208,
39.160976,-76.528152,2013,9,2.6206232364127104,
39.160976,-76.528152,2013,10,16.514744351672334,
39.160976,-76.528152,2013,11,0.058823529411764705,
39.160976,-76.528152,2013,12,57.32447817836812,
39.160976,-76.528152,2014,4,190.375,
39.160976,-76.528152,2014,5,169.11756839308683,
39.160976,-76.528152,2014,6,58.95148226938659,
39.160976,-76.528152,2014,7,8.622425961135642,
39.160976,-76.528152,2014,8,14.529042547718271,
39.160976,-76.528152,2014,9,2.7917310759416027,
39.160976,-76.528152,2014,10,22.46906450638634,
39.160976,-76.528152,2014,11,0.0,
39.160976,-76.528152,2014,12,58.007590132827325,
39.160976,-76.528152,2015,4,221.69444444444446,
39.160976,-76.528152,2015,5,172.02671495297392,
39.160976,-76.528152,2015,6,41.540508583584824,
39.160976,-76.528152,2015,7,38.68623312171699,
39.160976,-76.528152,2015,8,14.422819022139905,
39.160976,-76.528152,2015,9,2.7826033615507297,
39.160976,-76.528152,2015,10,24.067231905378943,
39.160976,-76.528152,2015,11,0.0,
39.160976,-76.528152,2015,12,58.064516129032256,
39.160976,-76.528152,2016,4,242.962962962963,
39.160976,-76.528152,2016,5,136.18392254358454,
39.160976,-76.528152,2016,6,61.46267482085025,
39.160976,-76.528152,2016,7,3.5216754571593283,
39.160976,-76.528152,2016,8,15.194834593815918,
39.160976,-76.528152,2016,9,2.5559791086106873,
39.160976,-76.528152,2016,10,19.906138263461973,
39.160976,-76.528152,2016,11,0.5294117647058824,
39.160976,-76.528152,2016,12,58.861480075901326,
39.160976,-76.528152,2017,4,173.90277777777777,
39.160976,-76.528152,2017,5,173.31392777328503,
39.160976,-76.528152,2017,6,60.17798629778049,
39.160976,-76.528152,2017,7,17.387021580569968,
39.160976,-76.528152,2017,8,14.880159832621633,
39.160976,-76.528152,2017,9,2.8206477732793522,
39.160976,-76.528152,2017,10,17.26729450219698,
39.160976,-76.528152,2017,11,0.0,
39.160976,-76.528152,2017,12,57.89373814041746,
39.160976,-76.528152,2018,4,184.69444444444446,
39.160976,-76.528152,2018,5,157.42792927389877,
39.160976,-76.528152,2018,6,48.59187944685397,
39.160976,-76.528152,2018,7,34.06917455304552,
39.160976,-76.528152,2018,8,15.244585069712404,
39.160976,-76.528152,2018,9,2.6684333210649003,
39.160976,-76.528152,2018,10,23.759503390458004,
39.160976,-76.528152,2018,11,0.0,
39.160976,-76.528152,2018,12,57.43833017077799,
39.160976,-76.528152,2019,4,192.33333333333334,
39.160976,-76.528152,2019,5,180.343270379497,
39.160976,-76.528152,2019,6,74.42348396979575,
39.160976,-76.528152,2019,7,25.584308164953324,
39.160976,-76.528152,2019,8,14.240023323215174,
39.160976,-76.528152,2019,9,2.9102932155563734,
39.160976,-76.528152,2019,10,21.31867199754484,
39.160976,-76.528152,2019,11,0.0,
39.160976,-76.528152,2019,12,58.007590132827325,
39.160976,-76.528152,2020,4,282.55352715798966,
39.160976,-76.528152,2020,5,132.07441319788273,
39.160976,-76.528152,2020,6,68.78516415558913,
39.160976,-76.528152,2020,7,3.4697650020230664,
39.160976,-76.528152,2020,8,14.775668398758382,
39.160976,-76.528152,2020,9,9.31818181818182,
39.175159,-76.523868,2009,5,3.9075519607381604,
39.175159,-76.523868,2009,6,248.6227151632831,
39.175159,-76.523868,2009,7,176.04852956430906,
39.175159,-76.523868,2009,8,241.7937790239512,
39.175159,-76.523868,2009,9,4.095860864281917,
39.175159,-76.523868,2009,10,45.049550861741416,
39.175159,-76.523868,2009,11,17.076558265582655,
39.175159,-76.523868,2009,12,49.71675845790716,
39.175159,-76.523868,2010,4,86.95588235294117,
39.175159,-76.523868,2010,5,66.35608951536364,
39.175159,-76.523868,2010,6,314.47058361216574,
39.175159,-76.523868,2010,7,77.34690747848644,
39.175159,-76.523868,2010,8,237.35828404758794,
39.175159,-76.523868,2010,9,3.757750436697805,
39.175159,-76.523868,2010,10,46.558434738554766,
39.175159,-76.523868,2010,11,17.20560975609756,
39.175159,-76.523868,2010,12,49.66955153422502,
39.175159,-76.523868,2011,4,98.14705882352942,
39.175159,-76.523868,2011,5,75.83430879271543,
39.175159,-76.523868,2011,6,124.03048664204852,
39.175159,-76.523868,2011,7,206.05710775123305,
39.175159,-76.523868,2011,8,242.47213656260465,
39.175159,-76.523868,2011,9,4.387647148173463,
39.175159,-76.523868,2011,10,40.68797848812852,
39.175159,-76.523868,2011,11,17.514579945799458,
39.175159,-76.523868,2011,12,49.70102281667978,
39.175159,-76.523868,2012,4,133.09342560553634,
39.175159,-76.523868,2012,5,48.50271383548107,
39.175159,-76.523868,2012,6,277.96967170009765,
39.175159,-76.523868,2012,7,12.588900182354937,
39.175159,-76.523868,2012,8,241.11329813367163,
39.175159,-76.523868,2012,9,4.111832611832612,
39.175159,-76.523868,2012,10,55.724515057335765,
39.175159,-76.523868,2012,11,18.301951219512194,
39.175159,-76.523868,2012,12,49.874114870180954,
39.175159,-76.523868,2013,4,93.83088235294117,
39.175159,-76.523868,2013,5,73.47824512843275,
39.175159,-76.523868,2013,6,267.1660754841282,
39.175159,-76.523868,2013,7,62.60816432292213,
39.175159,-76.523868,2013,8,245.98302295973895,
39.175159,-76.523868,2013,9,4.3460811118705855,
39.175159,-76.523868,2013,10,43.70349470484504,
39.175159,-76.523868,2013,11,17.24620596205962,
39.175159,-76.523868,2013,12,49.63021243115657,
39.175159,-76.523868,2014,4,91.66911764705883,
39.175159,-76.523868,2014,5,72.83561940411809,
39.175159,-76.523868,2014,6,201.9506822003779,
39.175159,-76.523868,2014,7,44.16618419521024,
39.175159,-76.523868,2014,8,243.035615447694,
39.175159,-76.523868,2014,9,4.316473000683527,
39.175159,-76.523868,2014,10,61.35665864518078,
39.175159,-76.523868,2014,11,17.21731707317073,
39.175159,-76.523868,2014,12,49.72462627852085,
39.175159,-76.523868,2015,4,106.59558823529412,
