year,month,latitude,longitude,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,data_type
2009,5,39.15155363157895,-76.58571147368421,117.00996556744074,predicted
2009,5,39.15981284210526,-76.58571147368421,114.13343226961635,predicted
2009,5,39.16807205263158,-76.58571147368421,109.1901471793777,predicted
2009,5,39.17633126315789,-76.58571147368421,102.25944020148776,predicted
2009,5,39.18459047368421,-76.58571147368421,94.44328230818374,predicted
2009,5,39.19284968421053,-76.58571147368421,86.72978433036393,predicted
2009,5,39.20110889473684,-76.58571147368421,76.78259165556588,predicted
2009,5,39.20936810526316,-76.58571147368421,55.414088931822135,predicted
2009,5,39.21762731578947,-76.58571147368421,8.07538713847573,predicted
2009,5,39.22588652631579,-76.58571147368421,-71.39310869891042,predicted
2009,5,39.23414573684211,-76.58571147368421,-154.9420363552689,predicted
